Punto,Fecha,Métrica,Instalaciones en dispositivos activos,Notas
2017-01-04 - 2019-02-18,2017-01-04,,9,Rollout of release - Started rollout of 1.1.0 at 100%
2017-01-04 - 2019-02-18,2017-03-31,,1877
2017-01-04 - 2019-02-18,2017-04-01,,1909
2017-01-04 - 2019-02-18,2017-04-02,,1945
2017-01-04 - 2019-02-18,2017-04-03,,1993
2017-01-04 - 2019-02-18,2017-04-04,,2038
2017-01-04 - 2019-02-18,2017-04-05,,2106
2017-01-04 - 2019-02-18,2017-04-06,,2138
2017-01-04 - 2019-02-18,2017-04-07,,2169
2017-01-04 - 2019-02-18,2017-04-08,,2196
2017-01-04 - 2019-02-18,2017-04-09,,2232
2017-01-04 - 2019-02-18,2017-04-10,,2273
2017-01-04 - 2019-02-18,2017-04-11,,2322
2017-01-04 - 2019-02-18,2017-04-12,,2356
2017-01-04 - 2019-02-18,2017-04-13,,2384
2017-01-04 - 2019-02-18,2017-04-14,,2417
2017-01-04 - 2019-02-18,2017-04-15,,2447
2017-01-04 - 2019-02-18,2017-04-16,,2472
2017-01-04 - 2019-02-18,2017-04-17,,2512
2017-01-04 - 2019-02-18,2017-04-18,,2551
2017-01-04 - 2019-02-18,2017-04-19,,2596
2017-01-04 - 2019-02-18,2017-04-20,,2624
2017-01-04 - 2019-02-18,2017-04-21,,2673
2017-01-04 - 2019-02-18,2017-04-22,,2705
2017-01-04 - 2019-02-18,2017-04-23,,2719
2017-01-04 - 2019-02-18,2017-04-24,,2767
2017-01-04 - 2019-02-18,2017-04-25,,2811
2017-01-04 - 2019-02-18,2017-04-26,,2853
2017-01-04 - 2019-02-18,2017-04-27,,2890
2017-01-04 - 2019-02-18,2017-04-28,,2900
2017-01-04 - 2019-02-18,2017-04-29,,2920
2017-01-04 - 2019-02-18,2017-04-30,,2938
2017-01-04 - 2019-02-18,2017-05-01,,2961
2017-01-04 - 2019-02-18,2017-05-02,,3020
2017-01-04 - 2019-02-18,2017-05-03,,3054
2017-01-04 - 2019-02-18,2017-05-04,,3097
2017-01-04 - 2019-02-18,2017-05-05,,3117
2017-01-04 - 2019-02-18,2017-05-06,,3131
2017-01-04 - 2019-02-18,2017-05-07,,3167
2017-01-04 - 2019-02-18,2017-05-08,,3217
2017-01-04 - 2019-02-18,2017-05-09,,3249
2017-01-04 - 2019-02-18,2017-05-10,,3308
2017-01-04 - 2019-02-18,2017-05-11,,3347
2017-01-04 - 2019-02-18,2017-05-12,,3375
2017-01-04 - 2019-02-18,2017-05-13,,3383
2017-01-04 - 2019-02-18,2017-05-14,,3426
2017-01-04 - 2019-02-18,2017-05-15,,3458
2017-01-04 - 2019-02-18,2017-05-16,,3493,Rollout of release - Started rollout of 1.2 at 100%
2017-01-04 - 2019-02-18,2017-05-17,,3509
2017-01-04 - 2019-02-18,2017-05-18,,3549
2017-01-04 - 2019-02-18,2017-05-19,,3566
2017-01-04 - 2019-02-18,2017-05-20,,3597
2017-01-04 - 2019-02-18,2017-05-21,,3622
2017-01-04 - 2019-02-18,2017-05-22,,3665
2017-01-04 - 2019-02-18,2017-05-23,,3703
2017-01-04 - 2019-02-18,2017-05-24,,3717
2017-01-04 - 2019-02-18,2017-05-25,,3742
2017-01-04 - 2019-02-18,2017-05-26,,3752
2017-01-04 - 2019-02-18,2017-05-27,,3757
2017-01-04 - 2019-02-18,2017-05-28,,3762
2017-01-04 - 2019-02-18,2017-05-29,,3778
2017-01-04 - 2019-02-18,2017-05-30,,3804
2017-01-04 - 2019-02-18,2017-05-31,,3826
2017-01-04 - 2019-02-18,2017-06-01,,3850
2017-01-04 - 2019-02-18,2017-06-02,,3860
2017-01-04 - 2019-02-18,2017-06-03,,3860
2017-01-04 - 2019-02-18,2017-06-04,,3863
2017-01-04 - 2019-02-18,2017-06-05,,3889
2017-01-04 - 2019-02-18,2017-06-06,,3907
2017-01-04 - 2019-02-18,2017-06-07,,3917
2017-01-04 - 2019-02-18,2017-06-08,,3934
2017-01-04 - 2019-02-18,2017-06-09,,3931
2017-01-04 - 2019-02-18,2017-06-10,,3936
2017-01-04 - 2019-02-18,2017-06-11,,3944
2017-01-04 - 2019-02-18,2017-06-12,,3961
2017-01-04 - 2019-02-18,2017-06-13,,3985
2017-01-04 - 2019-02-18,2017-06-14,,3984
2017-01-04 - 2019-02-18,2017-06-15,,4005
2017-01-04 - 2019-02-18,2017-06-16,,4001
2017-01-04 - 2019-02-18,2017-06-17,,4021
2017-01-04 - 2019-02-18,2017-06-18,,4022
2017-01-04 - 2019-02-18,2017-06-19,,4032
2017-01-04 - 2019-02-18,2017-06-20,,4048
2017-01-04 - 2019-02-18,2017-06-21,,4059
2017-01-04 - 2019-02-18,2017-06-22,,4066
2017-01-04 - 2019-02-18,2017-06-23,,4062
2017-01-04 - 2019-02-18,2017-06-24,,4057
2017-01-04 - 2019-02-18,2017-06-25,,4071
2017-01-04 - 2019-02-18,2017-06-26,,4081
2017-01-04 - 2019-02-18,2017-06-27,,4111
2017-01-04 - 2019-02-18,2017-06-28,,4137
2017-01-04 - 2019-02-18,2017-06-29,,4171
2017-01-04 - 2019-02-18,2017-06-30,,4178
2017-01-04 - 2019-02-18,2017-07-01,,4211
2017-01-04 - 2019-02-18,2017-07-02,,4222
2017-01-04 - 2019-02-18,2017-07-03,,4254,"Rollout of release - Started rollout of 1.2.1 at 50%, Rollout of release - Increased rollout of 1.2.1 to 100%"
2017-01-04 - 2019-02-18,2017-07-04,,4295
2017-01-04 - 2019-02-18,2017-07-05,,4328
2017-01-04 - 2019-02-18,2017-07-06,,4346
2017-01-04 - 2019-02-18,2017-07-07,,4379
2017-01-04 - 2019-02-18,2017-07-08,,4399
2017-01-04 - 2019-02-18,2017-07-09,,4420
2017-01-04 - 2019-02-18,2017-07-10,,4446
2017-01-04 - 2019-02-18,2017-07-11,,4458
2017-01-04 - 2019-02-18,2017-07-12,,4460
2017-01-04 - 2019-02-18,2017-07-13,,4477
2017-01-04 - 2019-02-18,2017-07-14,,4497
2017-01-04 - 2019-02-18,2017-07-15,,4495
2017-01-04 - 2019-02-18,2017-07-16,,4506
2017-01-04 - 2019-02-18,2017-07-17,,4523
2017-01-04 - 2019-02-18,2017-07-18,,4558
2017-01-04 - 2019-02-18,2017-07-19,,4590
2017-01-04 - 2019-02-18,2017-07-20,,4610
2017-01-04 - 2019-02-18,2017-07-21,,4620
2017-01-04 - 2019-02-18,2017-07-22,,4618
2017-01-04 - 2019-02-18,2017-07-23,,4624
2017-01-04 - 2019-02-18,2017-07-24,,4637
2017-01-04 - 2019-02-18,2017-07-25,,4649
2017-01-04 - 2019-02-18,2017-07-26,,4669
2017-01-04 - 2019-02-18,2017-07-27,,4676
2017-01-04 - 2019-02-18,2017-07-28,,4676
2017-01-04 - 2019-02-18,2017-07-29,,4684
2017-01-04 - 2019-02-18,2017-07-30,,4705
2017-01-04 - 2019-02-18,2017-07-31,,4724
2017-01-04 - 2019-02-18,2017-08-01,,4752
2017-01-04 - 2019-02-18,2017-08-02,,4801
