Fecha,Calificación acumulativa promedio,Notas
2018-04-13,4.07,
2018-04-14,4.07,
2018-04-15,4.07,
2018-04-16,4.07,
2018-04-17,4.07,
2018-04-18,4.07,
2018-04-19,4.07,
2018-04-20,4.07,
2018-04-21,4.07,
2018-04-22,4.07,
2018-04-23,4.07,
2018-04-24,4.07,
2018-04-25,4.07,
2018-04-26,4.07,
2018-04-27,4.07,
2018-04-28,4.07,
2018-04-29,4.07,
2018-04-30,4.08,
2018-05-01,4.08,
2018-05-02,4.08,
2018-05-03,4.08,
2018-05-04,4.08,
2018-05-05,4.07,
2018-05-06,4.08,
2018-05-07,4.08,
2018-05-08,4.08,
2018-05-09,4.08,
2018-05-10,4.08,
2018-05-11,4.08,
2018-05-12,4.08,
2018-05-13,4.08,
2018-05-14,4.08,
2018-05-15,4.08,
2018-05-16,4.08,
2018-05-17,4.08,
2018-05-18,4.08,
2018-05-19,4.10,
2018-05-20,4.10,
2018-05-21,4.10,
2018-05-22,4.10,
2018-05-23,4.10,
2018-05-24,4.10,
2018-05-25,4.11,
2018-05-26,4.12,
2018-05-27,4.12,
2018-05-28,4.12,
2018-05-29,4.13,
2018-05-30,4.14,
2018-05-31,4.14,
2018-06-01,4.14,
2018-06-02,4.14,
2018-06-03,4.14,
2018-06-04,4.14,
2018-06-05,4.14,
2018-06-06,4.15,
2018-06-07,4.15,
2018-06-08,4.16,
2018-06-09,4.16,
2018-06-10,4.16,
2018-06-11,4.16,
2018-06-12,4.16,
2018-06-13,4.16,
2018-06-14,4.16,
2018-06-15,4.16,
2018-06-16,4.16,
2018-06-17,4.16,
2018-06-18,4.16,
2018-06-19,4.16,
2018-06-20,4.16,
2018-06-21,4.16,
2018-06-22,4.16,
2018-06-23,4.16,
2018-06-24,4.16,
2018-06-25,4.16,
2018-06-26,4.16,
2018-06-27,4.16,
2018-06-28,4.16,
2018-06-29,4.16,
2018-06-30,4.16,
2018-07-01,4.16,
2018-07-02,4.17,
2018-07-03,4.17,
2018-07-04,4.17,
2018-07-05,4.17,
2018-07-06,4.17,
2018-07-07,4.17,
